8호선,남한산성입구(성남법원.검찰청),24,0,10815,1459,21602,6021,52224,10866,68191,21952,36891,13640,23037,10710,20559,9615,19780,11481,18942,12925,17052,13379,16230,17120,17097,22055,21119,25475,24374,42069,12308,39154,7515,24724,5596,25558,3709,26192,1836,15376,345,4926,0,1,0,0,0,0
7호선,상동,9,0,4974,1935,16166,6443,41840,13463,37956,29818,20654,29832,16714,19695,17381,21236,19972,22760,20808,22805,21328,24515,23571,23662,26864,25795,29326,32831,35193,48248,23559,45206,21010,25210,22962,20139,22263,17406,8368,13860,1489,4176,0,300,0,0,0,0
2호선,잠실나루,8,0,3170,1655,12157,10741,39534,22312,52209,40408,31503,30399,25604,23289,25818,20614,26757,24269,25405,25380,26406,23019,28318,22465,32249,23199,37759,28106,36717,43096,21344,35262,16221,21801,12249,20728,8122,21291,3705,12929,570,3846,0,22,0,1,0,0
2호선,선릉,83,5,6014,6578,12388,42817,22870,110541,37151,312229,37530,226139,39591,97709,52744,67534,65961,65257,74960,73794,78008,61836,98316,53709,133846,53943,173251,60340,310411,67376,155793,48491,98353,28839,99559,24890,89396,22709,32678,13662,5029,6134,1,96,0,1,0,0
8호선,천호(풍납토성),48,2,11983,2006,18819,11774,47108,18749,67722,32265,39857,30475,24358,23125,24327,23510,25060,25832,26541,30056,24514,28867,25910,34936,28456,38991,35471,48299,41212,78696,28719,63679,24458,34990,20015,32991,16390,28843,7803,18011,1637,5962,2,377,0,0,0,0
7호선,까치울,1,0,3714,967,10312,4180,30875,5338,38737,9470,19202,5743,11416,5123,10190,7013,10344,7575,10483,8011,9355,8462,9276,8594,10528,12874,11317,17076,12203,29029,8088,26690,6225,16680,5298,15154,3861,14295,1478,8556,176,2239,0,0,0,0,0,0
우이신설선,성신여대입구(돈암),1,0,809,296,1116,1280,3960,4455,6110,8404,4908,8112,4511,6920,4713,6379,6293,7189,6001,8403,5878,7572,6902,7856,7935,8317,8188,9435,9386,12359,6511,8876,6069,5285,6758,4179,7026,3337,2953,2014,608,675,0,0,0,0,0,0
5호선,방이,0,0,2576,845,7298,3616,19599,8875,18927,24266,12010,14015,9990,8695,9604,8315,11091,9924,11339,11254,10305,10540,11924,12025,12246,14095,14752,17520,20979,22472,11590,21040,9411,10325,11010,9929,12972,8386,2677,6457,316,2082,1,0,0,0,0,0
4호선,회현(남대문시장),56,2,2398,965,4096,23486,6549,55255,10547,164915,16677,105427,25159,86509,36797,92083,47123,72161,59283,64791,70008,59803,76714,52644,86127,41298,124118,32920,136292,26704,66124,16650,64900,10090,28735,10766,16784,9447,6639,5982,844,2011,0,127,0,0,0,0
경원선,도봉산,224,5,7190,1042,10505,3810,25297,4775,22425,8977,15614,13343,12890,14815,13417,12031,14138,10085,15960,9455,16743,9141,17825,8960,19479,9516,18974,9978,15872,11476,10465,10184,6705,6363,4251,6117,2943,5541,1104,4494,153,1868,0,0,0,0,0,0
경원선,의정부,2802,8,11098,2310,23422,10629,45787,16434,43929,37812,30016,42750,27246,36868,30551,39505,34197,44275,34944,46345,36920,42878,42558,38912,49354,45487,52868,50826,54298,60840,39111,60612,38135,39202,29551,29788,23254,24056,11302,17236,747,10251,0,22,0,0,0,0
5호선,종로3가,13,0,1795,532,2459,6415,3792,15770,5883,45821,7854,43403,11392,34520,15575,38285,22733,40347,27584,39281,31677,34703,36293,30990,43115,29365,50896,31653,68171,36486,45514,22369,37241,11346,39079,8850,31794,7576,14764,5451,1952,1885,0,17,0,1,0,0
9호선,고속터미널,22,0,2250,1517,4799,16756,15025,22933,20316,32448,15731,35873,13614,37921,16530,45558,20304,46269,23110,45299,26968,47922,31073,49257,35696,51718,39210,55871,40102,64316,34596,46791,33045,31390,30182,24025,24263,22164,10550,12760,1378,2548,0,63,0,0,0,0
5호선,마포,9,0,2846,1199,8351,7772,25791,21689,38407,73471,20121,37565,15870,17596,16897,16417,18477,15428,20877,17227,18354,16473,20227,16103,22235,19914,31941,26530,62693,46649,25433,30689,20113,17328,21434,15254,16281,14527,7371,9404,945,2650,0,0,0,0,0,0
6호선,화랑대(서울여대입구),10,1,6474,827,20772,3593,65740,7222,60249,13306,29442,9227,19638,7669,18133,7624,18492,9698,17031,9121,14561,10406,16196,11402,18117,16411,17270,19666,16145,38334,8512,35255,6106,21619,5219,18426,3933,21636,1916,14769,244,4913,1,93,0,0,0,0
2호선,봉천,89,4,17825,2021,31311,9839,84533,14186,124704,29143,77475,26371,43231,23460,36567,24597,39917,26329,39070,28721,33524,30278,32820,37535,36081,43024,38157,55110,40175,85936,26678,77355,19812,49455,18103,48741,13987,48018,6162,30293,1123,9618,1,266,0,0,0,0
2호선,이대,46,1,3495,1808,6819,13882,18004,14310,27239,36463,19519,45110,16962,42522,22916,37114,33209,39856,36670,41554,34752,37414,38865,35899,50303,35420,59157,37281,51274,43790,36489,34467,28350,20724,29265,18930,23077,18732,9074,14794,1034,4308,0,24,0,1,0,0
2호선,신림,323,15,45145,5720,85290,24884,225186,36298,336731,69082,204828,61240,115147,55371,97308,60086,102954,65627,99615,75070,89086,81945,87732,96575,95817,114846,106906,153777,112003,258495,78972,254487,66679,163359,62348,160381,56794,158541,33326,109717,5697,36238,1,179,0,0,0,0
9호선2~3단계,삼전,16,0,3430,383,6172,2150,15342,2936,24342,7593,15858,5855,9496,5282,8778,5017,9249,5536,9293,6631,7815,6698,7769,7581,8156,9713,9460,12835,11614,20092,7068,18792,5550,12289,4326,11509,3888,11275,1821,8436,364,3284,2,107,0,0,0,0
경인선,역곡,1045,15,28763,3915,47701,14157,133431,15471,129796,31243,71450,28629,49814,23746,43758,27784,44418,29977,42944,34476,36366,34409,36277,41331,42593,52515,45989,70750,42796,114276,29065,112351,23254,69376,20321,63486,16938,59757,9075,39322,690,7841,0,0,0,0,0,0
경의선,문산,1126,6,3471,18,9543,3690,19329,7840,20376,14279,12774,7670,11301,8894,10812,8858,11324,9550,11570,9678,11845,9192,11675,12199,12475,12656,14617,12425,13641,17131,7087,16803,5617,12608,4520,10270,2569,7451,445,7059,0,4032,0,1,0,0,0,0
6호선,창신,22,0,2609,405,5138,2092,14572,4922,18818,6368,9509,3577,5534,2940,4857,2390,5188,3290,4837,3395,4073,3333,4950,3846,4908,4606,5154,5292,5131,8712,3214,8506,2584,5060,1998,5043,1519,5901,692,3630,102,1269,0,0,0,0,0,0
3호선,금호,61,9,5062,599,10679,2930,28122,4774,40148,8887,26004,7630,16595,7011,14424,7334,13883,9033,13398,9919,11494,10782,11411,13144,11790,16170,12828,20876,13393,31340,9015,24841,6618,17844,5431,15569,4066,15583,1941,9405,426,2814,0,0,0,0,0,0
6호선,망원,13,0,6247,999,10719,4950,27717,8665,41475,31938,26983,29433,19979,20550,18977,20808,21013,26245,22045,26688,21642,27441,21780,27914,24453,33725,27484,36862,39172,51671,27531,41086,21508,23261,21177,17902,18187,18474,9450,11835,1416,3423,0,0,0,0,0,0
6호선,새절(신사),0,0,10952,941,21241,5616,53651,9044,64918,16356,33725,12264,23469,10463,20650,10530,21478,13577,20545,14123,17178,15958,16977,18234,19646,24530,19595,29879,18819,49536,12513,41702,8823,29359,7862,25275,5596,26907,2747,16761,514,5288,1,1442,0,0,0,0
안산선,산본,682,2,9444,2208,23491,7454,60747,16156,54295,32490,30806,25866,26477,21357,25533,23128,26747,28324,26148,29965,25062,26911,28279,30924,30301,32818,33202,41662,37233,69328,26843,62837,22280,37821,22199,31634,19263,27681,8183,19292,1704,8617,6,840,0,0,0,0
6호선,고려대(종암),36,0,3588,767,7175,6499,21543,10146,28721,27295,16456,15044,11135,10968,11307,9372,12971,10449,13817,12237,11955,10650,13193,11570,18673,12239,23510,15855,22902,21353,12182,20551,9492,12719,9149,13382,8087,13220,4194,11213,631,3146,0,70,0,0,0,0
7호선,굴포천,3,0,7089,564,15725,4003,37870,5416,37276,12062,21164,10037,13929,7987,13456,8378,14235,9627,13199,10907,11999,12208,11765,11867,12679,17377,15173,22764,16078,37161,9974,38710,7665,23927,7052,19918,6047,19001,3366,12887,525,3960,1,854,0,0,0,0
6호선,월드컵경기장(성산),0,0,1343,1396,3066,3328,9118,5841,11637,10622,7028,10040,6776,9653,7076,11124,8186,12467,8869,14248,10085,14058,12318,13849,14392,13813,15407,14566,15979,20373,11064,18679,9224,8229,12179,6624,16583,5056,3836,3126,604,837,1,1,0,0,0,0
수인선,송도,4,0,2033,294,3887,1445,9197,2425,10045,3551,5488,2893,4426,2771,4403,3126,5143,3189,4937,3425,4172,3762,4098,4427,4812,5583,4981,7084,4859,9310,3067,6388,2147,4348,1781,4516,1219,4243,613,3446,53,813,0,0,0,0,0,0
6호선,약수,13,1,1345,281,2035,2195,4929,5320,8056,18300,5540,10122,4612,6475,5334,5122,6419,5459,6228,5172,6160,5465,6693,5276,7430,6197,9347,7041,13108,9546,8093,6490,5996,4554,6136,3774,4666,3484,2573,2288,494,770,0,0,0,1,0,0
